Primer	Panthera_leo	Xiphias_gladius_mitochondrial	Strix_aluco_mitochondrion	Osphranter_rufus_mitochondrial	Chamaeleo_calyptratus_mitochondrion	Iguana_iguana_complete_mitochondrial	Crocodylus_niloticus_complete_mitochondrial	Psittacus_erithacus_mitochondrion	Cyprinus_carpio_mitochondrion	Loxodonta_africana_mitochondrial	Ambystoma_mexicanum_mitochondrion	Phoenicopterus_ruber_roseus_mitochondrion	Ursus_arctos_horribilis	Rana_catesbeiana_mitochondrion	Aquila_chrysaetos_mitochondrion	Salmo_salar_mitochondrion	Naja_naja_mitochondrion	Alligator_mississippiensis_mitochondrial_DNA	Megaptera_novaeangliae_mitochondrial	Carcharodon_carcharias	Rhinella_marina	Amphiprion_ocellaris_mitochondrial	Leptodactylus_fallax_mitochondrion	Aptenodytes_patagonicus_mitochondrion	Ambystoma_tigrinum_tigrinum_mitochondrion
2372																									
1984																									
2267																									
3691																									
2319																									
3690																									
1104										5398.0												5686.0			
1105																									
1357																									
3481																									
82																									
1461																									
1462																									
412																									
413																									
414																									
843							5509.0				5503.0														5507.0
3087																									
3088																									
2795																									
2796																									
3375																									
220												5373.0			9036.0										
221																									
2960																5498.0									
534																									
3115																5618.0					5678.0				
3185																									
1680																									
212			5405.0		5266.0	5351.0		6508.0		5353.0		5427.0			9090.0	5500.0			5399.0					5416.0	
811			6125.0									6147.0												6136.0	
2724																									
2518																									
2529																									
399	6339.0		5407.0		5268.0			6510.0	5502.0						9092.0	5502.0		5340.0	5401.0				6963.0		
117						5353.0				5355.0		5429.0												5418.0	
854																									
381																									
383																									
385																									
387																5914.0									
389																									
380																									
382																									
384																									
386																									
388																									
3150		5507.0														5477.0						5618.0			
222																									
70																									
71																									
273																									
1520																									
1871																									
1688																									
1131						6020.0					6004.0														6008.0
683																									
226																									
842																									
841																									
820																									
225																									
1691																									
390		5476.0																							
1348																									
1349																									
1528																									
2993																									
1587																									
2644																									
3771																									
1750																									
2799																									
3785																									
3594																									
3595																									
2360																									
752																									
1818																									
2042																									
1817																									
2995																									
366																									
2519																									
1692																									
391																									
1529																									
1530																									
1531																									
852																									
853																									
3167																									
3166			5411.0			5357.0		6514.0	5506.0	5359.0		5433.0		5557.0		5506.0	6251.0	5344.0	5405.0	5487.0			6967.0	5422.0	
3386																									
2688																									
1586																									
3413																									
3414																									
851											5329.0														
850																									
3152		5469.0							5439.0												5500.0		6900.0		
3153																									
2081											5500.0														
2436																									
2463																									
1686																									
2791																									
2138																									
2139																									
3089																									
243																									
1812																									
1829																									
1985				5658.0																					
3090																									
319																									
318													7956.0												
3376																									
556																									
317																									
242																									
928																									
203																									
2462																									
781																									
3216																									
204																									
3217																									
2461																									
3716																									
3717																									
360																									
139											5332.0														
533																									
2520																									
2876																									
2622																									
3145																									
200																									
199																									
164			5409.0											5555.0									6965.0		
165			5409.0																	5485.0					
1358																									
3067																									
3066																									
1580																									
167																									
3720																									
3721																									
615																									
227																									
265																									
1576																									
1578																									
1577																									
3121																									
2182																									
60													8484.0												
1579																									
3390																									
3394																									
3392																									
2930																									
80								6508.0							9090.0				5399.0					5416.0	
2012																									
2011		5506.0							5476.0							5476.0						5617.0			
2013																									
3708																									
196																									
197																									
198																									
3440							5386.0		5545.0																
3442																									
124																				5517.0	5596.0				
1717																									
581			5405.0					6508.0	5500.0						9090.0	5500.0			5399.0						
3033			6086.0														6926.0	6019.0					7642.0		
20																									
102																									
1697																									
21																									
103																									
3574																									
3694																									
3695																									
783											5333.0														
782																									
1020		5284.0		5279.0												5259.0						5402.0			
169																									
958																									
324																									
984																									
985																									
986																									
159											5335.0														
160			5409.0																	5485.0					
166																									
168																									
170																									
171																									
172																									
1473																									
186											5335.0														
187																									
246																									
983																									
982																									
2846																									
2847																									
162				5421.0							5338.0			5554.0											5342.0
173																									
245																									
249																									
253																									
2896											5334.0														5338.0
2897																									
1973																									
1974																									
1977																									
1978																									
3081																									
3082																									
2493																									
647																									
1102																									
554																									
846																									
2900																									
3625																									
3626																									
2246																									
3123																									
3122																									
59																									
840																									
1410																									
2483																									
1995																									
2430																									
211																									
894																									
1784																									
3599																									
2191																									
2456																									
290													8280.0												
2522																									
1317																									
1318																									
3397																									
3398																									
3399																									
3518																									
3517																									
3228																									
2030																									
665																									
666																									
3032																									
1472																									
1799																									
416																									
2974																									
634																									
3060																									
409																									
1101									5242.0																
553									5328.0													5468.0			
2899																									
1258			5325.0					6424.0				5348.0			9011.0									5337.0	
3725																									
3726																									
2247																									
58																									
839									5498.0							5498.0		5336.0							
1409											5333.0														
1077																									
1992																									
210																									
893																									
1377																									
2429																									
427																									
368																									
282											5339.0														5343.0
1334	6298.0																		5360.0						
2190																									
2315																									
2396																									
3786		5567.0								5390.0	5372.0									5518.0					5376.0
3255																				5485.0			6965.0		
3256																									
2094																									
2095																									
2118																									
1333																									
1																									
3460																									
639																									
90																									
1665																									
403																									
2																									
640																									
91																									
1666																									
865																									
866																									
304																									
305																									
306																									
307																									
308																									
2073														5543.0		5492.0									
1681																									
3692																									
3693																									
3142																									
3143													8486.0												
3395												5383.0													
3396																									
115			5329.0					6428.0				5352.0			9015.0									5341.0	
1800																									
699																									
677																									
2161																									
2150																									
325																									
2163																									
2162																									
49																									
784																									
2192																									
1979																									
329																									
1695																									
2155																									
2158																									
2153																									
2156																									
2157																									
1892																									
50																									
2193																									
2547																									
1331																									
1980																									
2160																									
1412																									
2080																									
2687													8471.0												
2079																									
1689																									
2790																									
2060																									
2061																									
419																									
418																									
524				5670.0					5752.0																
523																									
914																									
915																									
2093																									
3				5670.0																					
3329																									
1654																									
2322																									
55																									
1653																									
1378																									
1890																									
3348																									
3349																									
3350																									
287																									
288																									
1897																			5651.0						
1898																									
2517																									
3630																									
3629																									
2792																									
401																									
1609																									
369																									
2582																									
2121																									
2120																									
745																									
746																									
803																									
918																									
919																									
920																									
922																									
2819																									
3488																									
2204																									
2203																									
302																									
1572											5333.0									5479.0					
1115																									
1116																									
1463																									
426																									
2038																									
2039																									
1092																									
392								6512.0											5403.0						
393																									
374																									
2989										5443.0															
2990																									
2991													8343.0												
687																									
57																									
1803																									
1832																									
291																									
194													8432.0												
256																									
257																									
2608																									
2609																									
1094																									
1095																									
1949																									
1956																									
1957																									
1958																									
1959																									
1960																									
1961																									
1950																									
1951																									
1952																									
1953																									
1954																									
1955																									
1965																									
1966																									
2873														5551.0											
2919																		5338.0							
2920									5500.0																
372											5327.0														
2916																									
2921																									
2923																									
2922																									
2898																									
869							5341.0																		
2767																									
1725																5500.0									
1356																									
1355	7175.0						6179.0									6338.0						6479.0			6177.0
1698																									
1699																									
1700																									
2931																									
583																									
410																									
623																									
844																									
1021																									
1022																									
2007																									
3709																									
1981																									
2069			5411.0			5357.0	5347.0	6514.0				5433.0							5405.0					5422.0	
2070																									
2067			5405.0	5418.0		5351.0	5341.0	6508.0		5353.0		5427.0			9090.0				5399.0					5416.0	
1380																									
3315																									
3316																									
967																									
1467											5333.0														
3441																									
3443																									
1024																									
1023																									
1826																									
2721																									
2579																									
2556																									
3052																									
1025																									
1332						5351.0	5341.0	6508.0	5500.0			5427.0			9090.0			5338.0	5399.0						
582																									
1188																									
1270																									
2279																									
1371			5663.0			5609.0								5809.0				5596.0							
3661																									
3662																									
794																									
795																									
2438																									
2481																									
1804																									
3374																									
678																									
3084																									
161																									
422																									
423																									
827																									
402																									
428																									
1873																									
1874																									
429																									
1872																									
1321			5411.0			5357.0	5347.0	6514.0	5506.0			5433.0				5506.0		5344.0	5405.0	5487.0				5422.0	
2425										5591.0															
2611																									
3093																									
3094																									
2761																									
2758																									
2759																									5342.0
2760																									
244																									
247																									
646																									
1364																									
645																									
1151																									
1152																									
2184																									
2484																									
2485																									
1107																									
641																									
1108																									
642																									
2746				6294.0																				6292.0	
2747																									
3575																									
895																									
896																									
3417																									
3380																									
3418																									
3377																									
3378																									
1687																									
2219																									
1395																									
1396																									
775																									
3065																									
776																									
1426																									
3570																									
3477																									
549																									
2268																									
1145																									
1147																									
1148																									
320																									
321																									
1054				5666.0					5748.0																
2748																									
3735																									
411																									
3028	6264.0																		5326.0						
3732																									
1113																									
1114																									
5			5402.0					6505.0	5497.0						9087.0	5497.0			5396.0						
1732																									
10																									
96																									
92																									
18			5405.0					6508.0	5500.0						9090.0	5500.0			5399.0						
98																									
7																									
11																									
97																									
93																									
3409																									
3408																									
3407																									
3410																									
1175																									
1176																									
3184																									
2434																									
3182																									
2476																									
2645																									
2733																									
2646																									
2734																									
3379																									
2130																									
2648																									
3583																									
2647																									
2129																									
2201																									
629																									
1836																									
632																									
2369																									
2370																									
3364																									
3363																									
3584																									
2935																									
3618																									
3617																									
1962																									
2934																									
3516																									
2136																									
2137																									
2769																									
3236																									
3194																									
2770																									
3237																									
3195																									
3164																									
1513																									
2850																									
3515																									
3428																									
2398																									
1065																									
2684																									
1066																									
2685																									
578																									
2399																									
813																									
2056																									
2969																									
1064																									
631																									
3429																									
970																									
971																									
2650																									
2292																									
2293																									
2507																									
2508																									
2821																									
2543													11963.0												
2033																									
2681	2890.0	2015.0	1958.0	1918.0	1877.0	1915.0		3046.0	1995.0	1924.0	1887.0	1954.0		2131.0	5621.0	1996.0	1847.0		1962.0	1996.0	2125.0	2144.0	3526.0	1956.0	1886.0
3590																									
2613																									
3300																									
3387																									
2032																									
3388																									
2031																									
3589																									
1060	2888.0	2013.0		1916.0					1993.0	1922.0	1885.0			2129.0		1994.0	1845.0		1960.0	1994.0	2123.0	2142.0	3524.0		1884.0
3209																									
2717																									
3310																									
3252																									
3587	2889.0	2014.0		1917.0					1994.0	1923.0	1886.0			2130.0		1995.0			1961.0	1995.0	2124.0	2143.0	3525.0		1885.0
2566	2888.0	2013.0	1956.0	1916.0		1913.0		3044.0	1993.0	1922.0	1885.0	1952.0		2129.0	5619.0	1994.0			1960.0	1994.0	2123.0	2142.0	3524.0	1954.0	1884.0
546	2888.0	2013.0		1916.0					1993.0	1922.0	1885.0			2129.0		1994.0			1960.0	1994.0	2123.0	2142.0	3524.0		1884.0
2177	2888.0	2013.0	1956.0	1916.0		1913.0		3044.0	1993.0	1922.0	1885.0	1952.0		2129.0	5619.0	1994.0	1845.0		1960.0	1994.0	2123.0	2142.0	3524.0	1954.0	1884.0
1408													11985.0												
3588																									
3223													11987.0												
2820																									
547													11987.0												
2176													11987.0												
2712	2567.0	1657.0		1591.0				2745.0	1648.0					1804.0		1650.0		1559.0		1649.0	1796.0	1791.0	3199.0		
3311																									
2175	2982.0	2111.0		2012.0	1966.0	2005.0				2017.0	1979.0			2219.0			1940.0		2055.0	2084.0					1978.0
3351	2395.0								1455.0										1461.0						
2062																									
3501	2977.0	2106.0		2007.0		2000.0		3134.0	2087.0	2012.0	1974.0					2085.0	1935.0		2050.0	2079.0		2233.0			1973.0
3187													12474.0												
2433																									
599																									
600																									
1061													12000.0												
3445																									
1730		980.0	1015.0					2121.0	987.0		966.0	1008.0			4689.0	980.0					1179.0	1116.0	2589.0	1011.0	965.0
1731																									
1724																									
3729	3210.0			2240.0						2243.0									2282.0						
3730													12125.0												
2815													11990.0												
2173													12070.0												
2174																									
3352													11961.0												
2063																									
3502																									
3384																									
3188																									
661	3113.0	2242.0		2143.0		2136.0			2223.0	2148.0	2110.0			2350.0		2221.0			2186.0	2215.0	2343.0	2369.0	3745.0		2109.0
3056																									
3226																									
2432													11985.0												
1298	2978.0			2008.0						2013.0									2051.0						
1299																									
2274																									
2275																									
1885																									
1884																									
1493		2108.0	2048.0			2002.0	1966.0				1976.0	2044.0		2216.0	5711.0	2087.0		1964.0		2081.0	2209.0	2235.0	3611.0	2046.0	1975.0
1494													12065.0												
2932	2968.0			1998.0		1991.0		3125.0			1965.0								2041.0	2070.0					1964.0
2933																									
2741													12068.0												
3301																									
3303																									
2045																									
2047																									
2046																									
2048																									
2049																									
2050																									
3312	2888.0	2013.0	1956.0	1916.0		1913.0		3044.0	1993.0	1922.0	1885.0	1952.0		2129.0	5619.0	1994.0	1845.0		1960.0	1994.0	2123.0	2142.0	3524.0	1954.0	1884.0
3313													11987.0												
2718																									
1401																									
3302		2250.0														2229.0					2351.0		3753.0		
1810													11985.0												
3646																									
3647																									
2555	2962.0		2031.0	1992.0		1985.0		3119.0				2027.0		2199.0	5694.0		1920.0		2035.0		2192.0		3594.0	2029.0	
1429																									
1430																									
2377													11985.0												
1558																									
1559																									
2842																									
2843																									
3249																									
662													12119.0												
650																									
1923																									
2043																									
2044																									
1359			1955.0			1912.0		3043.0				1951.0			5618.0									1953.0	
1360																									
2185																									
2186			1955.0			1912.0		3043.0				1951.0			5618.0									1953.0	
1495																									
1496																									
1302																									
1744																									
1743																									
1308																									
1306																									
1303																									
949																									
950																									
2713							860.0														1095.0		2505.0		
1307																									
2714																									
1304																									
1300																									
715																									
1247																									
718																									
717																									
716																									
606																									
1250																									
2445																									
2235																									
2895																									
2391																									
2125																									
2126																									
2447																									
2273																									
3715																									
2127																									
1741																									
2448																									
2393																									
2446																									
3714																									
3119																									
1742																									
1711																									
3200																									
2392																									
1759																									
2541																									
2540																									
2894																									
790																									
1758																									
2395																									
1470																									
2394																									
2304																									
3738																									
3668																									
1712																									
2305																									
2209																									
3229																									
3712																									
951																									
2682																									
2271																									
2270																									
3765																									
3332																									
3035																									
3230																									
1402																									
1403																									
3713																									
3490																									
2683																									
2272																									
3766																									
3158																									
1469																									
2164																									
793																									
3149																									
1745																									
1746																									
1749																									
952					301.0		243.0							519.0							514.0		1924.0	316.0	
961																									
1305																									
2128																									
797																									
1301																									
3057																									
2256																									
1672																									
2257																									
3779																									
3780																									
3706																									
3707																									
744																									
519																									
436																									
1361																									
1362																									
3342																									
450																									
509																									
447																									
491																									
479																									
514																									
448																									
485																									
454																									
488																									
462																									
2254																									
3234																									
1526																									
292																									
293																									
2839																									
3623																									
3624																									
2567																									
2568																									
2569																									
2570																									
1527																									
3190																									
3191																									
3323																									
3324																									
2234																									
2165																									
2166																									
789																									
1499																									
1500																									
2253																									
1502																									
1498																									
1675																									
1501																									
2844																									
2845																									
3233																									
605																									
3333																									
1748																									
3745																									
3746																									
2206																									
2207																									
791																									
792																									
2208																									
3326																									
3325																									
1389																									
1390																									
2308																									
667																									
668																									
664																									
1294																									
871																									
3322																									
3330																									
2362																									
2380																									
2381																									
2506																									
1524																									
1525																									
2236																									
2505																									
2449																									
3321																									
1822																									
2237																									
1567																									
2311																									
1569																									
3793																									
1568																									
2912																									
2913																									
2227																									
571																									
572																									
420																									
421																									
1630																									
1295																									
3698																									
2503																									
3026																									
2325																									
3425																									
2123																									
1629																									
3331																									
1678																									
1679																									
3189																									
2504																									
1570																									
3027																									
3427																									
2326																									
3426																									
2616																									
2623																									
2617																									
1963																									
2450																									
1964																									
2124																									
2350																									
2351																									
2627																									
2628																									
953																									
955																									
956																									
2312																									
3058																									
1538																									
1942																									
1375																									
3468																									
1404																									
1539																									
363																									
1821																									
364																									
1542																									
1376																									
3499																									
1943																									
3034																									
1405																									
954																									
755																									
2361																									
2258																									
3444																									
3767																									
1433																									
1434																									
1435																									
1436																									
376																									
1503																									
1504																									
377																									
1505																									
1889																									
1506																									
1507																									
1508																									
3699																									
663																									
3281																									
3199																									
3198																									
2252																									
3768																									
756																									
870																									
1763																									
1765																									
1767																									
1762																									
3320																									
1768																									
1769																									
1770																									
1771																									
1772																									
1773																									
3220																									
3660																									
614																									
3659																									
3048																									
2620																									
558																									
3064																									
3063																									
559																									
762																									
785																									
786																									
787																									
788																									
3030																									
3031																									
1777																									
2757																									
1932																									
2424																									
1781																									
1211																									
1208																									
573																									
1707																									
1481																									
1705																									
1682																									
1207																									
2018																									
1204																									
2055																									
1087																									
1075																									
1076																									
3156																									
3157																									
3154																									
1086																									
761																									
2621																									
3155																									
695																									
696																									
1090																									
1091																									
2178																									
1808																									
1809																									
1074																									
2262																									
2230																									
1206																									
1778																									
1779																									
1780																									
1210																									
1209																									
2263																									
1766																									
3039																									
909																									
3367																									
1190																									
3368																									
1080																									
1191																									
3041																									
910																									
977																									
978																									
861																									
552																									
1033																									
2167																									
2168																									
2835																									
1480																									
3270																									
3495																									
3040																									
2373																									
589																									
576																									
3271																									
3496																									
1205																									
2320																									
968																									
969																									
591																									
3120																									
587																									
588																									
2640																									
3609																									
3608																									
3610																									
3607																									
2280																									
2496																									
3657																									
3658																									
2633																									
722																									
739																									
723																									
725																									
729																									
735																									
731																									
740																									
727																									
737																									
719																									
734																									
2637																									
1238																									
1228																									
1220																									
1221																									
1406																									
1213																									
1212																									
1217																									
1315																									
1316																									
3632																									
3633																									
2521																									
1455																									
348																									
1684																									
1908																									
2468																									
1196																									
2489																									
346																									
2490																									
609																									
345																									
777																									
430																									
672																									
1197																									
778																									
347																									
1939																									
344																									
1454																									
1907																									
343																									
976																									
1685																									
1079																									
812																									
671																									
635																									
1647																									
3202																									
2344																									
1585																									
1259																									
1453																									
1938																									
1169																									
2467																									
3201																									
2345																									
2222																									
2221																									
342																									
1937																									
1232																									
3651																									
3652																									
738																									
728																									
732																									
720																									
724																									
726																									
730																									
736																									
741																									
733																									
721																									
859																									
860																									
2636																									
2638																									
1223																									
2497																									
2635																									
2639																									
3650																									
355																									
2914																									
855																									
2509																									
2510																									
3021																									
2098																									
356																									
3046																									
856																									
2437																									
529																									
815																									
1924																									
314																									
1922																									
685																									
315																									
2366																									
83																									
2212																									
3783																									
3784																									
2211																									
753																									
536																									
537																									
1888																									
1235																									
799																									
857																									
858																									
2347																									
2348																									
2491																									
2492																									
2722																									
798																									
84																									
1584																									
899																									
1342																									
2854																									
997																									
312																									
1335																									
3365																									
85																									
754																									
2853																									
1343																									
2855																									
2723																									
335																									
2488																									
311																									
309																									
900																									
313																									
527																									
3165																									
3366																									
310																									
3181																									
2856																									
2857																									
1320																									
1886																									
3672																									
684																									
774																									
771																									
3068																									
3069																									
3671																									
1891																									
397																									
398																									
568																									
1904																									
395																									
396																									
569																									
3576																									
3578																									
3580																									
3577																									
3579																									
3581																									
279																									
1921																									
278																									
2744																									
3621																									
2562																									
612																									
579																									
898																									
2785																									
2563																									
280																									
638																									
637																									
2367																									
440																									
1887																									
3059																									
1388																									
1340																									
1341																									
2587																									
439																									
2559																									
796																									
1245																									
1246																									
1248																									
1249																									
2560																									
2281																									
2282																									
814																									
1236																									
550																									
3604							859.0														1094.0		2504.0		
3605																									
3606																									
406																									
3494																									
1387																									
570																									
405																									
404																									
759																									
626																									
628																									
1792																									
760																									
354																									
538																									
400																									
2371																									
2924																									
340																									
979																									
980																									
338																									
339																									
3170																									
3171																									
1868																									
1869																									
3796																									
2948																									
2947																									
1482									14371.0																
1483																									
2477																									
2478																									
1565									14442.0	14216.0															
1627																									14539.0
712																									
2057																									
1628																									
907																									
3739																									
3741																									
908																									
2939																									
681																									
3083																									
2133																									
3253																									
1547		14371.0				14123.0			14335.0							14348.0						14550.0			
1734																									
1063																									
838																									
708																									
835																									
836																									
2710																									
1059																			14158.0						
707		14365.0							14329.0							14342.0						14544.0			
1062				14786.0																					
831																									
2852																									
2851	15636.0	14908.0												14820.0						14848.0			16175.0		
2711																									
680		14366.0							14330.0							14343.0						14545.0			
2134																									
1548																									
711									14625.0					14571.0	261.0	14637.0							15926.0		
3001																									
3000																									
2612		14376.0				14128.0			14340.0							14353.0						14555.0			
2629																									
2630																									
828																									
3361																									
2789									14329.0	14099.0						14342.0						14544.0			
709		14375.0				14127.0			14339.0							14352.0						14554.0			
3640		14371.0				14123.0			14335.0							14348.0						14550.0			
3432		14366.0														14343.0	14901.0					14545.0			
966																									
3740																									
830																									
3797																									
1866																									
1864																									
3628																									
1867																									
1865																									
3434																									
3436																									
3438																									
3435																									
3437																									
3439																									
837																									
965									14442.0	14216.0															
1733			14056.0	14585.0	14386.0					14547.0		14070.0				14785.0	15315.0	14636.0	14606.0					14062.0	
2585									14327.0							14340.0									
1431																									
2946																									
1099																									
691												14066.0													
692																									
2135																									
3433																									
1563	14974.0									13983.0									14044.0						
1564																									
3005																									
3006																									
2998																									
2944																									
2945																									
2942																									
2494	15582.0																								
2495																									
1655																									
1656																									
833	15552.0																								
3362																									
829																									
3641																									
2187																									
710																									
1290																									
2999																									
349																									
350																									
2498																									
352																									
351																									
2443																									
2444																									
2442																									
3663																									
3664																									
2830																									
1552																									
1553																									
2149																									
1186																									
1187																									
2210																									
3221																									
3222																									
1540																									
275																									
742																									
743																									
274																									
1543																									
1544																									
2546																									
2829																									
1352																									
1351																									
625																									
561																									
2864																									
1268																									
1269																									
3373																									
541																									
542																									
2865																									
543																									
544																									
656																									
655																									
651																									
657																									
673																									
3634																									
3639																									
1465																									
2501																									
2140																									
3210																									
1466																									
602																									
603																									
2196																									
2197																									
2502																									
2141																									
3211																									
3655																									
3656																									
2386																									
2387																									
2388																									
2389																									
1001																									
1002																									
2390																									
652																									
674																									
653																									
3192																									
3193																									
659																									
1003																									
1004																									
654																									
3592																									
3593																									
3751																									
3752																									
947	1073.0	111.0		113.0					112.0							111.0					322.0	112.0	1732.0		
3483																									
1292					482.0	503.0	437.0													503.0					
1097	1453.0	487.0	502.0	492.0				1613.0	489.0		492.0	503.0		701.0	4187.0	485.0		433.0	494.0		697.0	486.0	2105.0	506.0	491.0
3147																									
1098													13578.0												
1291																									
1337																									
3148																									
2822																									
2532	1454.0	488.0	503.0	493.0				1614.0	490.0		493.0	504.0		702.0	4188.0	486.0		434.0	495.0		698.0	487.0	2106.0	507.0	492.0
1729	1452.0	486.0	501.0	491.0	481.0	502.0	436.0	1612.0	488.0		491.0	502.0		700.0	4186.0	484.0		432.0	493.0	502.0	696.0	485.0	2104.0	505.0	490.0
2147																									
2148																									
3354	982.0																								
2797																									
2533																									
3353																									
2264					304.0		246.0											243.0			517.0		1927.0		
2265																									
3719													13866.0												
3484	1455.0	489.0	504.0	494.0				1615.0	491.0		494.0	505.0		703.0	4189.0	487.0		435.0	496.0		699.0	488.0	2107.0	508.0	493.0
3485													13578.0												
2232																									
1296																									
2801																									
2800																									
3071																									
3072																									
2902	1259.0			298.0				1409.0			288.0	302.0			3985.0					299.0					288.0
2906																									
2903																									
2907																									
2870		296.0							294.0							293.0						297.0			
2904																									
2901																									
2905																									
3247																									
3248																									
816																471.0									
817																									
2378																									
2379	1453.0	487.0	502.0	492.0	482.0	503.0	437.0	1613.0	489.0		492.0	503.0		701.0	4187.0	485.0		433.0	494.0	503.0	697.0	486.0	2105.0	506.0	491.0
2589																									
2590																									
2592																									
2591																									
2594																									
2595																									
2871																									
1728																									
1070																									
1327																									
1329																									
1328																									
1069		15645.0																				15823.0			
1285																									
1286																									
3053																									
1287																			15811.0						
1288																									
3261																									
1134									15603.0																
1870																				15596.0					
1135																									
1806																									
889									15537.0																
825													15340.0												
824																									
826																									
1007									15603.0																
823																									
1309																									
1310																									
3260																									
890																									
1549																									
1550																									
1138																									
1137																									
1139																									
1136																									
1551																									
1484																									
1485																									
1311																									
1312													15108.0												
3012																									
3013																									
2514																									
944																									
2511																									
2513																									
945																									
3014																									
3619																									
3620																									
2862																									
2863																									
885																									
888																									
886																									
887																									
701																									
702																									
700																									
981																									
3421																									
3422																									
697																									
698																									
567																									
577																									
566																									
624																									
564																									
565																									
3799																									
3798																									
1417																									
1392																									
881						6020.0					6004.0														
3241																									
1694																									
1693																									
1708																									
2649																									
1601																									
3582																									
598																									
2542																									
1946																									
2798										5992.0															
1795																									
597																									
3022																									
3173																									
1798																									
1797																									
3023																									
596																									
3146																									
1785																									
3118																									
1557																									
704																									
2316																									
1696																									
3036																									
3037																									
2539																									
2040																	6926.0								
2041																									
1058																									
1833																									
2962																									
1813																									
2092																									
1055																									
2266				6272.0																					
2632																									
2288																									
1947																									
2618																									
2289																									
1948																									
2619																									
1880																									
1881																									
3204																									
3205																									
2131																									
2132																									
1533																									
3753																									
3754																									
3369																									
1323																									
2352																									
2353																									
1857																									
1858																									
2354																									
2355																									
3197																									
1284																									
3212																									
3213																									
3772																									
3339																									
868																									
3011																									
3338		3877.0							3852.0											3838.0		3993.0			
867	4831.0		3930.0	3851.0		3862.0		5030.0		3858.0		3958.0			7619.0		4781.0		3900.0					3943.0	
3010	4836.0		3935.0	3856.0		3867.0		5035.0	4001.0	3863.0		3963.0			7624.0	3992.0	4786.0	3843.0	3905.0					3948.0	
3238	4838.0		3937.0	3858.0		3869.0		5037.0				3965.0			7626.0				3907.0					3950.0	
1000																									
2910		4015.0							3992.0		3829.0			4068.0		3983.0		3834.0		3978.0	4076.0	4131.0	5478.0		3832.0
2911																									
999	4827.0		3926.0	3847.0		3858.0		5026.0	3992.0	3854.0		3954.0			7615.0	3983.0	4777.0	3834.0	3896.0					3939.0	
2331																									
1035	8919.0																								
1036																									
1037																									
2487																									
2486																									
929																									
3049																									
3050																									
1068																									
2198																									
1056																									
1057																									
2479																									
2480																									
3242																									
3244																									
3246																									
3243																									
3245																									
3266																									
3267																									
3509																									
2988																									
1251																									
