CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
MW916077.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT79 mitochondrion, complete genome
MW916076.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT78 mitochondrion, complete genome
MW916075.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT77 mitochondrion, complete genome
MW916074.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT76 mitochondrion, complete genome
MW916073.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT75 mitochondrion, complete genome
MW916072.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT74 mitochondrion, complete genome
MW916071.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT73 mitochondrion, complete genome
MW916070.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT72 mitochondrion, complete genome
MW916069.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT71 mitochondrion, complete genome
MW916068.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT70 mitochondrion, complete genome
MW916067.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT69 mitochondrion, complete genome
MW916066.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT67 mitochondrion, complete genome
MW916065.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT66 mitochondrion, complete genome
MW916064.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT64 mitochondrion, complete genome
MW916063.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT63 mitochondrion, complete genome
MW916062.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT62 mitochondrion, complete genome
MW916061.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT61 mitochondrion, complete genome
MW916060.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT60 mitochondrion, complete genome
MW916059.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT59 mitochondrion, complete genome
MW916058.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT58 mitochondrion, complete genome
MW916057.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT57 mitochondrion, complete genome
MW916056.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT56 mitochondrion, complete genome
MW916055.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT55 mitochondrion, complete genome
MW916054.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT54 mitochondrion, complete genome
MW916053.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT53 mitochondrion, complete genome
MW916052.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT52 mitochondrion, complete genome
MW916051.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT51 mitochondrion, complete genome
MW916050.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT50 mitochondrion, complete genome
MW916049.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT49 mitochondrion, complete genome
MW916048.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT46 mitochondrion, complete genome
MW916047.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT45 mitochondrion, complete genome
MW916046.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT44 mitochondrion, complete genome
MW916045.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT43 mitochondrion, complete genome
MW916044.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT42 mitochondrion, complete genome
MW916043.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT41 mitochondrion, complete genome
MW916042.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT40 mitochondrion, complete genome
MW916041.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT39 mitochondrion, complete genome
MW916040.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT38 mitochondrion, complete genome
MW916039.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT37 mitochondrion, complete genome
MW916038.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT36 mitochondrion, complete genome
MW916037.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT35 mitochondrion, complete genome
MW916036.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT34 mitochondrion, complete genome
MW916035.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT33 mitochondrion, complete genome
MW916034.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT32 mitochondrion, complete genome
MW916033.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT31 mitochondrion, complete genome
MW916032.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT30 mitochondrion, complete genome
MW916031.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT29 mitochondrion, complete genome
MW916030.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT28 mitochondrion, complete genome
MW916029.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT27 mitochondrion, complete genome
MW916028.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT26 mitochondrion, complete genome
MW916027.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT25 mitochondrion, complete genome
MW916026.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT24 mitochondrion, complete genome
MW916025.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT23 mitochondrion, complete genome
MW916024.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT22 mitochondrion, complete genome
MW916023.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr21 mitochondrion, complete genome
MW916022.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr20 mitochondrion, complete genome
MW916021.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr19 mitochondrion, complete genome
MW916020.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT18 mitochondrion, complete genome
MW916019.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr17 mitochondrion, complete genome
MW916018.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr16 mitochondrion, complete genome
MW916017.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr14 mitochondrion, complete genome
MW916016.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr13 mitochondrion, complete genome
MW916015.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT12 mitochondrion, complete genome
MZ042325.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00111.Pekingese mitochondrion, complete genome
MZ042324.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00001 mitochondrion, complete genome
MZ042316.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00123.Labradoodle mitochondrion, complete genome
MZ042315.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00112.Saint_Bernard mitochondrion, complete genome
MZ042314.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00121.Great_Pyrenees mitochondrion, complete genome
MZ042313.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00002 mitochondrion, complete genome
MN509797.1	Canis lupus familiaris	Canis lupus familiaris isolate PQ2 mitochondrion, complete genome
MN509796.1	Canis lupus familiaris	Canis lupus familiaris isolate PQ1 mitochondrion, complete genome
MZ367913.1	Canis lupus familiaris	Canis lupus familiaris isolate S12-0692 mitochondrion, complete genome
MT726217.1	Pneumocystis canis	Pneumocystis canis strain AU voucher Dog_A mitochondrion, complete genome
MT726216.1	Pneumocystis canis	Pneumocystis canis strain CK2 voucher CKCS mitochondrion, complete genome
MT726215.1	Pneumocystis canis	Pneumocystis canis strain CK1 voucher CKCS mitochondrion, complete genome
MW549038.1	Canis lupus familiaris	Canis lupus familiaris mitochondrion, complete genome
MW051511.1	Canis lupus familiaris	Canis lupus familiaris breed Basenji mitochondrion, complete genome
CM023446.1	Canis lupus familiaris	Canis lupus familiaris isolate Tasha breed boxer mitochondrion, complete sequence, whole genome shotgun sequence
CM025140.1	Canis lupus familiaris	Canis lupus familiaris isolate SID07034 breed Labrador retriever mitochondrion, complete sequence, whole genome shotgun sequence
LC533830.1	Strongyloides stercoralis	Strongyloides stercoralis D024_2 mitochondrial DNA, complete genome
CM020940.1	Canis lupus familiaris	Canis lupus familiaris isolate Nala breed German Shepherd mitochondrion, complete sequence, whole genome shotgun sequence
CM022001.1	Canis lupus familiaris	Canis lupus familiaris isolate Mischka breed German Shepherd mitochondrion, complete sequence, whole genome shotgun sequence
LR742834.1	Canis lupus familiaris	Canis lupus familiaris mitochondrial partial D-loop, isolate TRF.02.19_NorthGL_Historical, complete mitochondrial genome
LR742799.1	Canis lupus familiaris	Canis lupus familiaris mitochondrial partial D-loop, isolate TRF.04.26_Kamchatka_Rus_Historical, complete mitochondrial genome
EU408280.2	Canis lupus familiaris	Canis lupus familiaris isolate ItalianGreyhound1P mitochondrion, complete genome
EU408308.1	Canis lupus familiaris	Canis lupus familiaris isolate YorkieChihuahua1M mitochondrion, complete genome
EU408307.1	Canis lupus familiaris	Canis lupus familiaris isolate WalkerHound1P mitochondrion, complete genome
EU408306.1	Canis lupus familiaris	Canis lupus familiaris isolate WestHighlandTerrier4P mitochondrion, complete genome
EU408305.1	Canis lupus familiaris	Canis lupus familiaris isolate Viszla2P mitochondrion, complete genome
EU408304.1	Canis lupus familiaris	Canis lupus familiaris isolate unknown1P mitochondrion, complete genome
EU408303.1	Canis lupus familiaris	Canis lupus familiaris isolate unknown1M mitochondrion, complete genome
EU408302.1	Canis lupus familiaris	Canis lupus familiaris isolate ToyPoodle3P mitochondrion, complete genome
EU408301.1	Canis lupus familiaris	Canis lupus familiaris isolate TibetanSpaniel1P mitochondrion, complete genome
EU408300.1	Canis lupus familiaris	Canis lupus familiaris isolate TibetanMastiff1P mitochondrion, complete genome
EU408299.1	Canis lupus familiaris	Canis lupus familiaris isolate Schnauzer4P mitochondrion, complete genome
EU408298.1	Canis lupus familiaris	Canis lupus familiaris isolate Sheltie1M mitochondrion, complete genome
EU408297.1	Canis lupus familiaris	Canis lupus familiaris isolate Schipperke1P mitochondrion, complete genome
EU408296.1	Canis lupus familiaris	Canis lupus familiaris isolate Rottweiler2P mitochondrion, complete genome
EU408295.1	Canis lupus familiaris	Canis lupus familiaris isolate Rottweiler1P mitochondrion, complete genome
EU408294.1	Canis lupus familiaris	Canis lupus familiaris isolate Pug5P mitochondrion, complete genome
EU408293.1	Canis lupus familiaris	Canis lupus familiaris isolate PitBullTerrier1M mitochondrion, complete genome
EU408292.1	Canis lupus familiaris	Canis lupus familiaris isolate Poodle7M mitochondrion, complete genome
EU408291.1	Canis lupus familiaris	Canis lupus familiaris isolate Pomeranian2M mitochondrion, complete genome
EU408290.1	Canis lupus familiaris	Canis lupus familiaris isolate NeapolitanMastiff2P mitochondrion, complete genome
EU408289.1	Canis lupus familiaris	Canis lupus familiaris isolate NeapolitanMastiff1P mitochondrion, complete genome
EU408288.1	Canis lupus familiaris	Canis lupus familiaris isolate NorwegianElkhound1P mitochondrion, complete genome
EU408287.1	Canis lupus familiaris	Canis lupus familiaris isolate Newfoundland1P mitochondrion, complete genome
EU408286.1	Canis lupus familiaris	Canis lupus familiaris isolate MiniatureDachshund3P mitochondrion, complete genome
EU408285.1	Canis lupus familiaris	Canis lupus familiaris isolate Labradoodle1P mitochondrion, complete genome
EU408284.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond3P mitochondrion, complete genome
EU408283.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond2P mitochondrion, complete genome
EU408282.1	Canis lupus familiaris	Canis lupus familiaris isolate Keeshond1P mitochondrion, complete genome
EU408281.1	Canis lupus familiaris	Canis lupus familiaris isolate JackRussell6P mitochondrion, complete genome
EU408279.1	Canis lupus familiaris	Canis lupus familiaris isolate Havanese3P mitochondrion, complete genome
EU408278.1	Canis lupus familiaris	Canis lupus familiaris isolate GreatPyrenees1P mitochondrion, complete genome
EU408277.1	Canis lupus familiaris	Canis lupus familiaris isolate GermanShepherd12P mitochondrion, complete genome
EU408276.1	Canis lupus familiaris	Canis lupus familiaris isolate GreatDane2P mitochondrion, complete genome
EU408275.1	Canis lupus familiaris	Canis lupus familiaris isolate FrenchBullDog1P mitochondrion, complete genome
EU408274.1	Canis lupus familiaris	Canis lupus familiaris isolate EnglishMastiff3P mitochondrion, complete genome
EU408273.1	Canis lupus familiaris	Canis lupus familiaris isolate EnglishShepherd1M mitochondrion, complete genome
EU408272.1	Canis lupus familiaris	Canis lupus familiaris isolate Dachshund15P mitochondrion, complete genome
EU408271.1	Canis lupus familiaris	Canis lupus familiaris isolate DoguedeBordeaux1P mitochondrion, complete genome
EU408270.1	Canis lupus familiaris	Canis lupus familiaris isolate Dachshund4P mitochondrion, complete genome
EU408269.1	Canis lupus familiaris	Canis lupus familiaris isolate DobermanPinscher5P mitochondrion, complete genome
EU408268.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel8P mitochondrion, complete genome
EU408267.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel3P mitochondrion, complete genome
EU408266.1	Canis lupus familiaris	Canis lupus familiaris isolate CockerSpaniel1P mitochondrion, complete genome
EU408265.1	Canis lupus familiaris	Canis lupus familiaris isolate Corgi2P mitochondrion, complete genome
EU408264.1	Canis lupus familiaris	Canis lupus familiaris isolate CairnTerrier4P mitochondrion, complete genome
EU408263.1	Canis lupus familiaris	Canis lupus familiaris isolate CavalierKingCharlesSpaniel9P mitochondrion, complete genome
EU408262.1	Canis lupus familiaris	Canis lupus familiaris isolate Chihuahua5P mitochondrion, complete genome
EU408261.1	Canis lupus familiaris	Canis lupus familiaris isolate Chihuahua11M mitochondrion, complete genome
EU408260.1	Canis lupus familiaris	Canis lupus familiaris isolate CardiganCorgi2P mitochondrion, complete genome
EU408259.1	Canis lupus familiaris	Canis lupus familiaris isolate Cockapoo3M mitochondrion, complete genome
EU408258.1	Canis lupus familiaris	Canis lupus familiaris isolate Cockapoo1M mitochondrion, complete genome
EU408257.1	Canis lupus familiaris	Canis lupus familiaris isolate BrittanySpaniel1M mitochondrion, complete genome
EU408256.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound4P mitochondrion, complete genome
EU408255.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound3P mitochondrion, complete genome
EU408254.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound2P mitochondrion, complete genome
EU408253.1	Canis lupus familiaris	Canis lupus familiaris isolate Boxer6P mitochondrion, complete genome
EU408252.1	Canis lupus familiaris	Canis lupus familiaris isolate Bolognese1P mitochondrion, complete genome
EU408251.1	Canis lupus familiaris	Canis lupus familiaris isolate BlueHeeler1P mitochondrion, complete genome
EU408250.1	Canis lupus familiaris	Canis lupus familiaris isolate BichonFrise3P mitochondrion, complete genome
EU408249.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianShepherd7P mitochondrion, complete genome
EU408248.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianShepherd1P mitochondrion, complete genome
EU408247.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianTerrier1P mitochondrion, complete genome
EU408246.1	Canis lupus familiaris	Canis lupus familiaris isolate AmericanCockerSpaniel1P mitochondrion, complete genome
EU408245.1	Canis lupus familiaris	Canis lupus familiaris isolate Akita1P mitochondrion, complete genome
CM016608.1	Canis lupus familiaris	Canis lupus familiaris isolate Zoey breed Great Dane mitochondrion, complete sequence, whole genome shotgun sequence
MK214285.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome b (cytB) pseudogene, complete sequence; mitochondrial
MK214284.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome B-2 gene, complete cds; mitochondrial
MK214283.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome B-1 gene, complete cds; mitochondrial
MK214282.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome c oxidase subunit III gene, complete cds; mitochondrial
MH615005.1	Hepatozoon canis	Hepatozoon canis isolate 9992 small subunit ribosomal RNA, large subunit ribosomal RNA, and small subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615004.1	Hepatozoon canis	Hepatozoon canis isolate 9992 large subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615003.1	Hepatozoon canis	Hepatozoon canis isolate 9992 large subunit ribosomal RNA and small subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615002.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome c oxidase subunit I gene, complete cds; mitochondrial
MH557087.1	Hepatozoon canis	Hepatozoon canis cytochrome c oxidase subunit I (COI) gene, complete cds; mitochondrial
MH105047.1	Canis lupus familiaris	Canis lupus familiaris isolate BORE-BR7296 mitochondrion, complete genome
MH105046.1	Canis lupus familiaris	Canis lupus familiaris isolate GREY-RJB/15/02524 mitochondrion, complete genome
KY798508.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10665 mitochondrion, complete genome
KY659812.1	Canis lupus familiaris	Canis lupus familiaris isolate 1381T_1A2b_Clade_1_China mitochondrion, complete genome
KY659811.1	Canis lupus familiaris	Canis lupus familiaris isolate 1380T_1A2b2_Clade_1_China mitochondrion, complete genome
KX379529.1	Canis lupus familiaris	Canis lupus familiaris isolate HXHdog mitochondrion, complete genome
KX379528.1	Canis lupus familiaris	Canis lupus familiaris isolate CTCdog mitochondrion, complete genome
EU789786.1	Canis lupus familiaris	Canis lupus familiaris isolate C15_D1 mitochondrion, complete genome
EU789785.1	Canis lupus familiaris	Canis lupus familiaris isolate B8_D2 mitochondrion, complete genome
EU789784.1	Canis lupus familiaris	Canis lupus familiaris isolate A163_D3 mitochondrion, complete genome
EU789783.1	Canis lupus familiaris	Canis lupus familiaris isolate D8_D14 mitochondrion, complete genome
EU789782.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_D5 mitochondrion, complete genome
EU789781.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_D6 mitochondrion, complete genome
EU789780.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_D7 mitochondrion, complete genome
EU789779.1	Canis lupus familiaris	Canis lupus familiaris isolate A26_D8 mitochondrion, complete genome
EU789778.1	Canis lupus familiaris	Canis lupus familiaris isolate A2_D9 mitochondrion, complete genome
EU789777.1	Canis lupus familiaris	Canis lupus familiaris isolate A17_D10 mitochondrion, complete genome
EU789776.1	Canis lupus familiaris	Canis lupus familiaris isolate A29_D11 mitochondrion, complete genome
EU789775.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_D12 mitochondrion, complete genome
EU789774.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_D13 mitochondrion, complete genome
EU789773.1	Canis lupus familiaris	Canis lupus familiaris isolate D3_D4 mitochondrion, complete genome
EU789772.1	Canis lupus familiaris	Canis lupus familiaris isolate C14_PS122 mitochondrion, complete genome
EU789771.1	Canis lupus familiaris	Canis lupus familiaris isolate A78_M216 mitochondrion, complete genome
EU789770.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_Z264 mitochondrion, complete genome
EU789769.1	Canis lupus familiaris	Canis lupus familiaris isolate B6_Z217 mitochondrion, complete genome
EU789768.1	Canis lupus familiaris	Canis lupus familiaris isolate A129_m289 mitochondrion, complete genome
EU789767.1	Canis lupus familiaris	Canis lupus familiaris isolate A78_M212 mitochondrion, complete genome
EU789766.1	Canis lupus familiaris	Canis lupus familiaris isolate C1_Z206 mitochondrion, complete genome
EU789765.1	Canis lupus familiaris	Canis lupus familiaris isolate A20_Z109 mitochondrion, complete genome
EU789764.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_Z171 mitochondrion, complete genome
EU789763.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_Z105 mitochondrion, complete genome
EU789762.1	Canis lupus familiaris	Canis lupus familiaris isolate C2_JD18 mitochondrion, complete genome
EU789761.1	Canis lupus familiaris	Canis lupus familiaris isolate B2_PS121 mitochondrion, complete genome
EU789760.1	Canis lupus familiaris	Canis lupus familiaris isolate C2_Z107 mitochondrion, complete genome
EU789759.1	Canis lupus familiaris	Canis lupus familiaris isolate A5_Z28 mitochondrion, complete genome
EU789758.1	Canis lupus familiaris	Canis lupus familiaris isolate B2_Z254 mitochondrion, complete genome
EU789757.1	Canis lupus familiaris	Canis lupus familiaris isolate B32_m474 mitochondrion, complete genome
EU789756.1	Canis lupus familiaris	Canis lupus familiaris isolate A154_m667 mitochondrion, complete genome
EU789755.1	Canis lupus familiaris	Canis lupus familiaris isolate A64_Z134 mitochondrion, complete genome
EU789754.1	Canis lupus familiaris	Canis lupus familiaris isolate A158_Z369 mitochondrion, complete genome
EU789753.1	Canis lupus familiaris	Canis lupus familiaris isolate C5_9839 mitochondrion, complete genome
EU789752.1	Canis lupus familiaris	Canis lupus familiaris isolate C12_9928 mitochondrion, complete genome
EU789751.1	Canis lupus familiaris	Canis lupus familiaris isolate C12_10017 mitochondrion, complete genome
EU789750.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10061 mitochondrion, complete genome
EU789749.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10057 mitochondrion, complete genome
EU789748.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10051 mitochondrion, complete genome
EU789747.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_9985 mitochondrion, complete genome
EU789746.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10159 mitochondrion, complete genome
EU789745.1	Canis lupus familiaris	Canis lupus familiaris isolate A117_10165 mitochondrion, complete genome
EU789744.1	Canis lupus familiaris	Canis lupus familiaris isolate A9_10075 mitochondrion, complete genome
EU789743.1	Canis lupus familiaris	Canis lupus familiaris isolate A9_10197 mitochondrion, complete genome
EU789742.1	Canis lupus familiaris	Canis lupus familiaris isolate A2_m290 mitochondrion, complete genome
EU789741.1	Canis lupus familiaris	Canis lupus familiaris isolate A74_10137 mitochondrion, complete genome
EU789740.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_10196 mitochondrion, complete genome
EU789739.1	Canis lupus familiaris	Canis lupus familiaris isolate B29_10175 mitochondrion, complete genome
EU789738.1	Canis lupus familiaris	Canis lupus familiaris isolate A136_10124 mitochondrion, complete genome
EU789737.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m257 mitochondrion, complete genome
EU789736.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m261 mitochondrion, complete genome
EU789735.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_m54 mitochondrion, complete genome
EU789734.1	Canis lupus familiaris	Canis lupus familiaris isolate A94_10006 mitochondrion, complete genome
EU789733.1	Canis lupus familiaris	Canis lupus familiaris isolate A27_m50 mitochondrion, complete genome
EU789732.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m49 mitochondrion, complete genome
EU789731.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_9987 mitochondrion, complete genome
EU789730.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_9997 mitochondrion, complete genome
EU789729.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_10106 mitochondrion, complete genome
EU789728.1	Canis lupus familiaris	Canis lupus familiaris isolate A16_R108 mitochondrion, complete genome
EU789727.1	Canis lupus familiaris	Canis lupus familiaris isolate A16_10222 mitochondrion, complete genome
EU789726.1	Canis lupus familiaris	Canis lupus familiaris isolate A109_9940 mitochondrion, complete genome
EU789725.1	Canis lupus familiaris	Canis lupus familiaris isolate A15_5884 mitochondrion, complete genome
EU789724.1	Canis lupus familiaris	Canis lupus familiaris isolate A100_10092 mitochondrion, complete genome
EU789723.1	Canis lupus familiaris	Canis lupus familiaris isolate A20_9947 mitochondrion, complete genome
EU789722.1	Canis lupus familiaris	Canis lupus familiaris isolate A89_5918 mitochondrion, complete genome
EU789721.1	Canis lupus familiaris	Canis lupus familiaris isolate A17_10112 mitochondrion, complete genome
EU789720.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m55 mitochondrion, complete genome
EU789719.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m260 mitochondrion, complete genome
EU789718.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_Y85 mitochondrion, complete genome
EU789717.1	Canis lupus familiaris	Canis lupus familiaris isolate A3_5880 mitochondrion, complete genome
EU789716.1	Canis lupus familiaris	Canis lupus familiaris isolate A93_10083 mitochondrion, complete genome
EU789715.1	Canis lupus familiaris	Canis lupus familiaris isolate A51_10079 mitochondrion, complete genome
EU789714.1	Canis lupus familiaris	Canis lupus familiaris isolate A34_R34 mitochondrion, complete genome
EU789713.1	Canis lupus familiaris	Canis lupus familiaris isolate A33_p11 mitochondrion, complete genome
EU789712.1	Canis lupus familiaris	Canis lupus familiaris isolate A41_m300 mitochondrion, complete genome
EU789711.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m52 mitochondrion, complete genome
EU789710.1	Canis lupus familiaris	Canis lupus familiaris isolate A91_10095 mitochondrion, complete genome
EU789709.1	Canis lupus familiaris	Canis lupus familiaris isolate A36_R74 mitochondrion, complete genome
EU789708.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m47 mitochondrion, complete genome
EU789707.1	Canis lupus familiaris	Canis lupus familiaris isolate A22_10087 mitochondrion, complete genome
EU789706.1	Canis lupus familiaris	Canis lupus familiaris isolate A30_R51 mitochondrion, complete genome
EU789705.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m51 mitochondrion, complete genome
EU789704.1	Canis lupus familiaris	Canis lupus familiaris isolate A99_10028 mitochondrion, complete genome
